year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,185,38,151,19,17,3,137,12,141,73,82,67
2005,326,116,115,57,84,34,11,18,55,67,243,89
2006,151,132,107,122,37,22,0,77,195,182,123,208
2007,73,79,163,99,5,20,4,51,96,148,161,76
2008,135,155,90,109,41,236,0,11,101,116,201,148
2009,233,123,177,97,99,14,35,44,113,207,237,250
2010,132,77,60,95,16,26,15,0,38,130,182,175
2011,229,20,53,90,180,154,192,45,17,125,310,196
2012,101,64,415,119,24,37,32,172,400,313,213,230
2013,147,62,278,138,85,14,39,12,70,224,120,384
2014,165,97,188,40,17,9,6,42,83,179,100,130
2015,112,80,137,121,0,22,174,24,119,51,145,126
2016,111,77,274,19,106,19,254,82,55,112,167.5,79
2017,90.5,215,134.5,96.5,277,0,9.5,119.5,66,269.5,375,140.5
2018,79.5,130,132.5,97,21,10,11,119.5,36.5,75.5,70.5,126
2019,156,101,120.5,678,34,24.5,1,34.5,67,54,281,177
2020,214,186.5,53,119,9,0,4,17,39.5,175.5,202,85
2021,124.5,67,53,,,,,,,,,
